Date,Open,High,Low,Close
2019-02-01,1.14086,1.15143,1.1389,1.14537
2019-01-25,1.13653,1.14176,1.1288,1.1405
2019-01-18,1.14646,1.14897,1.1352,1.136
2019-01-11,1.14046,1.15698,1.1402,1.1464
2019-01-04,1.14392,1.1545,1.1308,1.13942
2018-12-28,1.13683,1.14728,1.1341,1.14415
2018-12-21,1.13055,1.14859,1.1302,1.1367
2018-12-14,1.13979,1.14427,1.1268,1.1307
2018-12-07,1.13317,1.14237,1.13099,1.13892
2018-11-30,1.13362,1.14018,1.1265,1.13192
2018-11-23,1.14163,1.14724,1.13262,1.13365
2018-11-16,1.13166,1.14203,1.1214,1.1418
2018-11-09,1.13909,1.14997,1.1315,1.1333
2018-11-02,1.1404,1.14558,1.13,1.1387
2018-10-26,1.15116,1.15502,1.1334,1.14
2018-10-19,1.1551,1.16215,1.1432,1.15129
2018-10-12,1.1525,1.16105,1.1429,1.15585
2018-10-05,1.16047,1.16246,1.1462,1.15229
2018-09-28,1.1746,1.18153,1.1569,1.16
2018-09-21,1.16255,1.18027,1.1617,1.17474
2018-09-14,1.15551,1.17216,1.1525,1.16246
2018-09-07,1.15974,1.16593,1.1529,1.15521
2018-08-31,1.16281,1.17335,1.1583,1.1599
2018-08-24,1.14377,1.16399,1.1393,1.1621
2018-08-17,1.1398,1.14449,1.13,1.1437
2018-08-10,1.15608,1.16282,1.1386,1.14115
2018-08-03,1.166,1.17459,1.1559,1.1565
2018-07-27,1.17338,1.17512,1.1619,1.1659
2018-07-20,1.16828,1.17447,1.1574,1.1718
2018-07-13,1.17499,1.17908,1.1611,1.16843
2018-07-06,1.16736,1.17678,1.159,1.17462
2018-06-29,1.16689,1.17205,1.1526,1.16839
2018-06-22,1.15945,1.1675,1.1507,1.16536
2018-06-15,1.17715,1.18518,1.1542,1.1609
2018-06-08,1.16623,1.184,1.1651,1.17677
2018-06-01,1.16888,1.173,1.1509,1.16588
2018-05-25,1.17664,1.183,1.1644,1.165
2018-05-18,1.19472,1.19961,1.1749,1.17699
2018-05-11,1.19598,1.1978,1.1821,1.19415
2018-05-04,1.21213,1.214,1.1909,1.19585
2018-04-27,1.228,1.229,1.2053,1.2125
2018-04-20,1.23285,1.24137,1.2249,1.22864
2018-04-13,1.22739,1.23964,1.2259,1.23283
2018-04-06,1.23172,1.2345,1.2214,1.22825
2018-03-30,1.23668,1.24765,1.2282,1.2323
2018-03-23,1.22852,1.239,1.2237,1.23524
2018-03-16,1.23104,1.24127,1.2259,1.2285
2018-03-09,1.23453,1.24462,1.2267,1.23054
2018-03-02,1.22881,1.2355,1.2153,1.2317
2018-02-23,1.2415,1.24352,1.22579,1.2294
2018-02-16,1.22518,1.25556,1.2233,1.2411
2018-02-09,1.2431,1.24749,1.2204,1.22515
2018-02-02,1.24153,1.25229,1.2334,1.2457
2018-01-26,1.22586,1.25378,1.2213,1.24224
2018-01-19,1.22026,1.23232,1.21638,1.22195
2018-01-12,1.20314,1.22188,1.1914,1.21991
2018-01-05,1.2002,1.209,1.19912,1.2026
2017-12-29,1.1858,1.20255,1.18423,1.1994
2017-12-22,1.17457,1.19018,1.1739,1.186
2017-12-15,1.17693,1.18627,1.1716,1.1749
2017-12-08,1.18691,1.188,1.1729,1.17686
2017-12-01,1.1935,1.19612,1.1808,1.18971
2017-11-24,1.17652,1.19444,1.1712,1.1931
2017-11-17,1.16568,1.18606,1.1636,1.17875
2017-11-10,1.16151,1.168,1.1553,1.1663
2017-11-03,1.15949,1.16917,1.1594,1.1605
2017-10-27,1.17617,1.18369,1.1572,1.1606
2017-10-20,1.18067,1.186,1.1729,1.1783
2017-10-13,1.17391,1.188,1.1718,1.18199
2017-10-06,1.18107,1.18115,1.1668,1.17259
2017-09-29,1.19221,1.19365,1.1716,1.1813
2017-09-22,1.19418,1.20338,1.186,1.1951
2017-09-15,1.20187,1.203,1.1837,1.19418
2017-09-08,1.18783,1.20924,1.1867,1.2035
2017-09-01,1.19519,1.20704,1.1821,1.1857
2017-08-25,1.17538,1.19415,1.17294,1.1924
2017-08-18,1.18215,1.184,1.16618,1.176
2017-08-11,1.17859,1.18473,1.16878,1.18241
2017-08-04,1.17592,1.19103,1.1721,1.1772
2017-07-28,1.16726,1.17768,1.1612,1.1751
2017-07-21,1.14699,1.1683,1.1433,1.1659
2017-07-14,1.13999,1.14896,1.1369,1.14613
2017-07-07,1.14252,1.144,1.1311,1.1398
2017-06-30,1.11964,1.14456,1.117,1.1427
2017-06-23,1.12036,1.12129,1.11168,1.1183
2017-06-16,1.12036,1.1296,1.113,1.11837
2017-06-09,1.12785,1.12843,1.1164,1.1194
2017-06-02,1.11827,1.12851,1.1107,1.1279
2017-05-26,1.12062,1.12683,1.1159,1.1177
2017-05-19,1.09253,1.12122,1.092,1.1204
2017-05-12,1.0993,1.09968,1.0837,1.0926
2017-05-05,1.09023,1.1,1.0873,1.0995
2017-04-28,1.08842,1.09509,1.0818,1.08932
2017-04-21,1.06048,1.07776,1.0602,1.07246
2017-04-14,1.05784,1.06777,1.0568,1.06117
2017-04-07,1.06712,1.069,1.0578,1.05895
2017-03-31,1.08479,1.09061,1.06498,1.0663
2017-03-24,1.07529,1.08247,1.0717,1.0795
2017-03-17,1.06791,1.07824,1.0598,1.07338
2017-03-10,1.06094,1.06991,1.0522,1.067
2017-03-03,1.05591,1.06306,1.0493,1.06182
2017-02-24,1.06201,1.0633,1.0492,1.0551
2017-02-17,1.06308,1.068,1.0519,1.06128
2017-02-10,1.0784,1.07889,1.0606,1.0637
2017-02-03,1.07135,1.08288,1.06188,1.07804
2017-01-27,1.07029,1.0775,1.0655,1.06979
2017-01-20,1.06213,1.072,1.0577,1.0699
2017-01-13,1.05331,1.06848,1.0452,1.06399
2017-01-06,1.0518,1.06221,1.03394,1.0532
2016-12-30,1.04546,1.06542,1.037,1.0516
2016-12-23,1.04457,1.04993,1.035,1.0446
2016-12-16,1.05456,1.06701,1.0364,1.04492
2016-12-09,1.05333,1.08735,1.05038,1.05578
2016-12-02,1.05975,1.06899,1.0552,1.06608
2016-11-25,1.05864,1.066,1.0516,1.05892
2016-11-18,1.0838,1.08398,1.0567,1.05841
2016-11-11,1.10838,1.12996,1.0829,1.08519
2016-11-04,1.09779,1.1145,1.0934,1.1145
2016-10-28,1.08785,1.09917,1.0848,1.0981
2016-10-21,1.0971,1.10392,1.0857,1.08838
2016-10-14,1.11919,1.12004,1.0966,1.0966
2016-10-07,1.12353,1.12416,1.1102,1.12
2016-09-30,1.12347,1.128,1.1151,1.12403
2016-09-23,1.11588,1.12574,1.112,1.1226
2016-09-16,1.12365,1.12842,1.1147,1.11566
2016-09-09,1.11567,1.13271,1.1138,1.1225
2016-09-02,1.11953,1.1252,1.1121,1.1152
2016-08-26,1.13137,1.13553,1.1179,1.1195
2016-08-19,1.11599,1.13663,1.1151,1.1325
2016-08-12,1.10909,1.12214,1.1068,1.11623
2016-08-05,1.11711,1.12338,1.1044,1.1081
2016-07-29,1.09712,1.11974,1.095,1.1175
2016-07-22,1.10572,1.10838,1.0953,1.0975
2016-07-15,1.10499,1.11648,1.1014,1.10261
2016-07-08,1.11294,1.1186,1.10008,1.1049
2016-07-01,1.1072,1.11694,1.09699,1.1135
2016-06-24,1.13229,1.1428,1.09108,1.11148
2016-06-17,1.12491,1.13029,1.11289,1.1279
2016-06-10,1.13561,1.14155,1.12438,1.12484
2016-06-03,1.11107,1.13736,1.10959,1.13627
2016-05-27,1.12163,1.12429,1.11087,1.11087
2016-05-20,1.13145,1.13462,1.1177,1.12191
2016-05-13,1.13963,1.14467,1.1281,1.1305
2016-05-06,1.14542,1.16163,1.1384,1.13991
2016-04-29,1.12307,1.146,1.12225,1.14485
2016-04-22,1.12815,1.13933,1.12153,1.12153
2016-04-15,1.14045,1.14648,1.1231,1.12824
2016-04-08,1.13914,1.1454,1.1325,1.1395
2016-04-01,1.11597,1.14377,1.1152,1.1394
2016-03-25,1.12733,1.12854,1.11427,1.1163
2016-03-18,1.11641,1.13425,1.1055,1.1269
2016-03-11,1.0992,1.12178,1.08218,1.1152
2016-03-04,1.09166,1.10434,1.08236,1.1004
2016-02-26,1.1116,1.11247,1.091,1.0931
2016-02-19,1.12382,1.12416,1.1065,1.11264
2016-02-12,1.11456,1.13763,1.1084,1.1254
2016-02-05,1.0829,1.12457,1.08124,1.11521
2016-01-29,1.07926,1.09677,1.07875,1.0827
2016-01-22,1.09103,1.0976,1.07768,1.07934
2016-01-15,1.09439,1.09846,1.0802,1.0914
2016-01-08,1.08665,1.09463,1.0708,1.09193
2016-01-01,1.09618,1.09925,1.0848,1.08584
2015-12-25,1.08553,1.09842,1.0846,1.0973
2015-12-18,1.09709,1.106,1.08,1.08629
2015-12-11,1.08755,1.10428,1.0793,1.09865
2015-12-04,1.05917,1.09811,1.05216,1.08818
